0.693147
------------С++-------------
==False sharing==
    Result	      Time  	   Speedup
  0.693147	        15	       7.6
  0.693147	        14	   8.14286
  0.693147	        14	   8.14286
  0.693147	        14	   8.14286
  0.693147	        13	   8.76923
  0.693147	        13	   8.76923
  0.693147	        13	   8.76923
  0.693147	        13	   8.76923
  0.693147	        12	       9.5
  0.693147	        12	       9.5
  0.693147	        13	   8.76923
  0.693147	        12	       9.5
  0.693147	        13	   8.76923
  0.693147	        12	       9.5
  0.693147	        12	       9.5
  0.693147	        12	       9.5
  0.693147	        15	       7.6
  0.693147	        15	       7.6
  0.693147	        15	       7.6
  0.693147	        15	       7.6
  0.693147	        15	       7.6
  0.693147	        15	       7.6
  0.693147	        14	   8.14286
  0.693147	        16	     7.125
  0.693147	        15	       7.6
  0.693147	        15	       7.6
  0.693147	        15	       7.6
  0.693147	        16	     7.125
------------OpenMP-------------
==False sharing==
    Result	      Time  	   Speedup
  0.693147	       117	         1
  0.693147	        63	   1.85714
  0.693147	        41	   2.85366
  0.693147	        33	   3.54545
  0.693147	        27	   4.33333
  0.693147	        27	   4.33333
  0.693147	        21	   5.57143
  0.693147	        22	   5.31818
  0.693147	        19	   6.15789
  0.693147	        19	   6.15789
  0.693147	        16	    7.3125
  0.693147	        17	   6.88235
  0.693147	        22	   5.31818
  0.693147	        22	   5.31818
  0.693147	        17	   6.88235
  0.693147	        21	   5.57143
  0.693147	        21	   5.57143
  0.693147	        19	   6.15789
  0.693147	        17	   6.88235
  0.693147	        16	    7.3125
  0.693147	        16	    7.3125
  0.693147	        16	    7.3125
  0.693147	        15	       7.8
  0.693147	        16	    7.3125
  0.693147	        13	         9
  0.693147	        13	         9
  0.693147	        13	         9
  0.693147	        12	      9.75
  0.693147	        13	         9
  0.693147	        11	   10.6364
  0.693147	        12	      9.75
  0.693147	        13	         9
  0.693147	        10	      11.7
  0.693147	        12	      9.75
  0.693147	        10	      11.7
  0.693147	        10	      11.7
  0.693147	        12	      9.75
  0.693147	        14	   8.35714
  0.693147	        14	   8.35714
  0.693147	        15	       7.8
  0.693147	        12	      9.75
  0.693147	        15	       7.8
  0.693147	        14	   8.35714
  0.693147	        15	       7.8
  0.693147	        15	       7.8
  0.693147	        14	   8.35714
  0.693147	        14	   8.35714
  0.693147	        12	      9.75
==Alignment==
    Result	      Time  	   Speedup
  0.693147	        61	         1
  0.693147	        29	   2.10345
  0.693147	        20	      3.05
  0.693147	        15	   4.06667
  0.693147	        12	   5.08333
  0.693147	        10	       6.1
  0.693147	         9	   6.77778
  0.693147	         8	     7.625
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         6	   10.1667
  0.693147	        11	   5.54545
  0.693147	        10	       6.1
  0.693147	         9	   6.77778
  0.693147	         9	   6.77778
  0.693147	         8	     7.625
  0.693147	         8	     7.625
  0.693147	         8	     7.625
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         6	   10.1667
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         8	     7.625
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	         7	   8.71429
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	         9	   6.77778
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	        10	       6.1
  0.693147	        10	       6.1
==Atomic==
    Result	      Time  	   Speedup
  0.693147	       206	         1
  0.693147	       320	   0.64375
  0.693147	       354	  0.581921
  0.693147	       306	  0.673203
  0.693147	       273	  0.754579
  0.693147	       249	  0.827309
  0.693147	       229	  0.899563
  0.693147	       212	  0.971698
  0.693147	       205	   1.00488
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
  0.693147	       200	      1.03
